item,quantity,price,discount,brand,date,store
Tata Salt,2,24.00,0,Tata,2024-03-15,DMart
Amul Milk 1L,5,65.00,0,Amul,2024-03-15,DMart
Basmati Rice 5kg,1,410.00,0,India Gate,2024-03-15,DMart
Aashirvaad Atta 5kg,2,275.00,0,Aashirvaad,2024-03-15,DMart
Tomato,3,55.00,0,,2024-03-15,DMart
Onion 1kg,2,38.00,0,,2024-03-15,DMart
Potato 1kg,2,35.00,0,,2024-03-15,DMart
Toor Dal 1kg,2,162.00,0,,2024-03-15,DMart
Sunflower Oil 1L,2,145.00,0,Fortune,2024-03-15,DMart
Surf Excel 1kg,1,220.00,0,HUL,2024-03-15,DMart
Amul Paneer 200g,2,90.00,0,Amul,2024-03-15,DMart
Banana 1dz,2,45.00,0,,2024-03-15,DMart
Colgate Toothpaste,1,115.00,0,Colgate,2024-03-15,DMart
Parle G Biscuit,4,10.00,0,Parle,2024-03-15,DMart
Harpic 500ml,1,120.00,0,Harpic,2024-03-15,DMart
